Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uf","C_0603_1608Metric",131.000000,-72.500000,0.000000,top
"C2","100pF optional","C_0603_1608Metric",159.400000,-89.300000,90.000000,top
"C3","100nf","C_0603_1608Metric",160.900000,-83.700000,0.000000,top
"C4","470nF","C_0603_1608Metric",127.900000,-99.900000,0.000000,top
"C5","1000uf","CAP-SMD_BD8.0-L8.3-W8.3-FD",150.000000,-80.500000,180.000000,top
"C6","10uf","C_0603_1608Metric",160.900000,-79.600000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",163.000000,-102.100000,0.000000,top
"C8","100nf","C_0603_1608Metric",166.400000,-73.500000,90.000000,top
"C9","1uf","C_0603_1608Metric",135.900000,-77.300000,180.000000,top
"C10","100uf","C_0603_1608Metric",131.025000,-74.000000,0.000000,top
"C11","1uF","C_0603_1608Metric",127.900000,-92.400000,90.000000,top
"C12","100nF","C_0603_1608Metric",152.400000,-74.300000,90.000000,top
"J1","Conn_01x06_Socket","PinSocket_1x06_P2.54mm_Vertical",130.700000,-81.800000,0.000000,top
"J2","Conn_01x06_Socket","PinSocket_1x06_P2.54mm_Vertical",164.900000,-81.800000,0.000000,top
"J4","Charging Notches","ChargingNotches",156.345054,-44.284065,180.000000,top
"LED1","XL-HD6070RGBC-A46L","LED-SMD_XL-HD6070RGBC-A46L",143.000000,-53.999873,0.000000,top
"MIC1","B4013AM423-093","MIC-TH_BD6.0_B6027AP383-056",129.000000,-104.400000,0.000000,top
"Q1","IRLML6244","SOT-23",150.500000,-68.150000,180.000000,top
"Q2","IRLML6244","SOT-23",150.500000,-64.250000,180.000000,top
"Q3","IRLML6244","SOT-23",154.812500,-63.250000,180.000000,top
"Q4","IRLML6244","SOT-23",129.200000,-47.100000,0.000000,top
"Q5","IRLML6244","SOT-23",129.400000,-50.600000,0.000000,top
"Q6","IRLML6244","SOT-23",129.400000,-54.200000,0.000000,top
"R1","4","R_0603_1608Metric",146.750000,-67.750000,180.000000,top
"R2","100","R_0603_1608Metric",146.750000,-69.250000,180.000000,top
"R3","1","R_0603_1608Metric",146.750000,-66.250000,180.000000,top
"R4","100","R_0603_1608Metric",151.925000,-71.400000,180.000000,top
"R5","1","R_0603_1608Metric",155.600000,-59.300000,90.000000,top
"R6","100","R_0603_1608Metric",155.025000,-67.200000,180.000000,top
"R7","1","R_0603_1608Metric",132.800000,-48.000000,0.000000,top
"R8","100","R_0603_1608Metric",136.000000,-50.300000,0.000000,top
"R9","1","R_0603_1608Metric",135.300000,-52.600000,0.000000,top
"R10","100","R_0603_1608Metric",136.200000,-55.700000,0.000000,top
"R11","4","R_0603_1608Metric",134.200000,-58.900000,180.000000,top
"R12","100","R_0603_1608Metric",128.600000,-57.200000,0.000000,top
"R13","100k","R_0603_1608Metric",146.750000,-64.750000,180.000000,top
"R14","100k","R_0603_1608Metric",147.900000,-71.400000,0.000000,top
"R15","100k","R_0603_1608Metric",146.750000,-63.250000,180.000000,top
"R16","100k","R_0603_1608Metric",128.475000,-63.425000,0.000000,top
"R17","100k","R_0603_1608Metric",128.425000,-61.675000,0.000000,top
"R18","100k","R_0603_1608Metric",128.425000,-59.925000,0.000000,top
"R19","470k","R_0603_1608Metric",150.000000,-74.300000,90.000000,top
"R20","4k7","R_0603_1608Metric",160.900000,-81.200000,180.000000,top
"R21","1k","R_0603_1608Metric",166.100000,-102.100000,0.000000,top
"R22","1k","R_0603_1608Metric",165.675000,-66.000000,0.000000,top
"R23","1k","R_0603_1608Metric",158.825000,-63.500000,180.000000,top
"R24","470k","R_0603_1608Metric",147.490000,-74.300000,-90.000000,top
"R25","100k","R_0603_1608Metric",155.700000,-98.400000,0.000000,top
"R26","47k","R_0603_1608Metric",160.900000,-85.300000,180.000000,top
"R27","100k","R_0603_1608Metric",128.100000,-95.900000,90.000000,top
"R28","10k","R_0603_1608Metric",127.900000,-98.200000,0.000000,top
"R29","10k","R_0603_1608Metric",127.600000,-101.600000,0.000000,top
"R30","100k","R_0603_1608Metric",139.700000,-74.100000,0.000000,top
"R31","100k","R_0603_1608Metric",127.500000,-68.700000,0.000000,top
"R32","470R","R_0603_1608Metric",131.200000,-101.800000,180.000000,top
"R33","100k","R_0603_1608Metric",157.800000,-101.000000,180.000000,top
"R34","10k","R_0603_1608Metric",130.900000,-98.900000,180.000000,top
"R35","10","R_0603_1608Metric",159.200000,-49.800000,180.000000,top
"R36","10","R_0603_1608Metric",161.100000,-53.400000,180.000000,top
"SW1","MK-12C02-G025","SW-SMD_MK-12C02-G025",158.700000,-106.929007,0.000000,top
"T1","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",134.300000,-67.900000,180.000000,top
"T2","TS-1187A-B-A-B","SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2",139.300000,-82.100000,180.000000,top
"U3","ESP32-S2-SOLO-2-N4","WIRELM-SMD_ESP32-S3-WROOM-1",143.900000,-95.505029,180.000000,top
"U4","TLV9002IDR","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL",160.000000,-95.100000,0.000000,top
"U5","XB4908A","XB4908A",164.900000,-99.500000,0.000000,top
"U6","TP4056_C725790","ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",159.000000,-70.000000,0.000000,top
"U8","ME6217C33M5G","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",163.911760,-75.999873,180.000000,top
"U9","XL-1608UBC-04","LED0603-RD_BLUE",161.950610,-63.503505,0.000000,top
"U10","XL-1608SYGC-06","LED0603-RD_GREEN",157.700000,-61.000000,180.000000,top
"USB1","MICROXNJ","MICRO-USB-SMD_MICROXNJ",164.503683,-49.824841,90.000000,top
