Designator,Mid X,Mid Y,Rotation,Layer
C1,130.775,-82.0,0.0,top
C10,123.975,-85.25,0.0,top
C2,166.0,-103.81376,90.0,top
C3,166.225,-67.0,0.0,top
C4,162.5,-88.0,0.0,top
C5,148.225,-59.0,0.0,top
C6,166.0,-100.5,90.0,top
C7,136.0,-59.0,0.0,top
C8,139.225,-61.0,0.0,top
C9,126.175,-72.49,0.0,top
J1,160.0,-65.0,0.0,top
J2,166.0,-95.08,180.0,top
J3,129.5,-97.75,0.0,top
J4,141.625,-39.5,0.0,top
J5,131.5,-105.0,180.0,top
Q1,164.761906,-50.5,0.0,top
Q2,164.761906,-54.95,0.0,top
Q3,164.761906,-59.4,0.0,top
Q4,132.0625,-50.05,0.0,top
Q5,132.0625,-54.5,0.0,top
Q6,132.0625,-58.95,0.0,top
R1,165.999406,-69.49,0.0,top
R10,143.175,-70.0,0.0,top
R11,142.925,-65.5,0.0,top
R12,136.175,-64.0,0.0,top
R13,160.639406,-55.53,0.0,top
R14,160.639406,-59.53,0.0,top
R15,160.639406,-64.53,0.0,top
R16,131.0,-78.0,0.0,top
R17,131.0,-74.0,0.0,top
R18,131.0,-69.0,0.0,top
R19,158.0,-96.825,270.0,top
R2,165.999406,-72.0,0.0,top
R20,161.675,-83.25,0.0,top
R21,162.675,-92.0,0.0,top
R22,166.175,-72.0,0.0,top
R23,126.175,-75.0,0.0,top
R24,126.175,-77.51,0.0,top
R25,126.175,-80.02,0.0,top
R3,165.999406,-74.51,0.0,top
R4,165.999406,-77.02,0.0,top
R5,160.649406,-49.0,0.0,top
R6,160.649406,-51.51,0.0,top
R7,136.175,-49.0,0.0,top
R8,136.175,-52.0,0.0,top
R9,136.175,-55.0,0.0,top
SW1,170.470003,-59.470003,90.0,top
U1,143.0,-53.999873,0.0,top
U10,125.950533,-53.50348,0.0,top
U2,153.824406,-53.999873,0.0,top
U3,145.500064,-91.855029,180.0,top
U4,162.525019,-104.03876,0.0,top
U5,162.555,-96.0,90.0,top
U6,137.824406,-70.0,0.0,top
U7,131.5,-90.3,0.0,top
U8,148.606236,-71.499873,0.0,top
U9,126.45061,-63.503505,0.0,top
VR1,154.95,-70.5,0.0,top
